name;frequency
Hava;795
Hedwig;791
Luciana;791
Alba;790
Susanne;786
Kadiatou;785
Adelina;784
Mya;783
Asmaa;782
Jenna;782
Nienke;781
Aleyna;780
Aisha;778
Marianna;778
Lamia;776
Margarita;775
Stefania;775
Iwona;774
Marie-Madeleine;772
Roseline;772
Lizette;771
Sabrine;770
Renilda;769
Mouna;766
Tasnim;765
Imelda;764
Mady;763
Demi;760
Floriane;759
Léana;759
Dagmar;758
Marie-Lou;757
Allison;755
Ludovica;755
Natasha;755
Jo;751
Rana;750
Ariana;749
Oumaima;749
Shanna;749
Touria;749
Liselotte;747
Estée;746
Victorine;746
Maddy;745
Marietta;744
Jane;743
Candice;742
Magalie;741
Flo;740
Cheyenne;739
Elle;739
Rika;739
Regine;738
Sultan;738
Elzbieta;735
Alya;734
Mayssa;734
Hana;733
Marisa;733
Yentl;733
Dolores;731
Berlinda;730
Agata;729
Caitlin;729
Sasha;727
Silvie;727
Thaïs;727
Joana;726
Ester;725
Eden;724
Clementina;720
Soline;720
Sandrina;719
Megan;716
Susanna;716
Tracy;712
Mirte;711
Sabah;711
Marian;709
Soukaina;709
Albertine;708
Bettina;708
Isra;708
Leonia;708
Jutta;706
Sanaa;706
Alia;705
Fadime;705
Mare;705
Lyana;704
Aneta;703
Aliya;702
Fouzia;702
Mélodie;700
Grazia;699
Justyna;699
Mariem;699
Gwen;696
Saloua;696
Tara;695
Jente;693
Aurelie;692
Nette;692
Siska;691
Derya;690
Isa;689
Rosanne;689
Francina;688
Safiya;687
Lieke;686
Louane;686
Lyna;686
Letizia;685
Youssra;685
Benedicte;684
Ludwina;684
Franca;681
Marte;681
Maïssa;681
Mariska;678
Angie;675
Ramona;675
Erin;674
Pierrette;673
Kate;672
Bernice;670
Elia;667
Sylwia;667
Jolanta;666
Sakina;665
Bérengère;663
Bente;662
Kiana;661
Fadoua;658
Ilke;658
Suzan;658
Ulrike;657
Sarina;656
Ahlam;653
Emelie;653
Joni;653
Laëtitia;653
Maurine;653
Lio;652
Hülya;651
Shania;651
Louisette;650
Hanae;648
Raphaëlle;648
Sylvianne;647
Nena;645
Hortense;643
Lauranne;643
Talia;643
Chelsey;641
Aimée;640
Irem;640
Rune;639
Filiz;638
Zara;637
Nicoleta;633
Arwen;632
Fabiola;632
Josefien;630
Kamila;629
Stacy;629
Basma;628
Dalila;626
Niki;626
Susan;622
Veronika;622
Krystyna;621
Renske;621
Dorothea;620
Angelica;619
Shannon;618
Zakia;616
Gilberta;615
Aida;613
Liz;610
Filomena;609
Laora;609
Phaedra;608
Steffie;607
Alixe;606
Aissatou;605
Celeste;605
Jasmina;605
Beatriz;604
Tinneke;604
Isolde;603
Ivana;602
Marlene;601
Rosanna;598
Anouchka;597
Clotilde;597
Lora;597
Lene;595
Renilde;595
Özlem;595
Izabela;594
Sybille;594
Aurelia;591
Katarina;591
Katrin;591
Charlène;590
Insaf;589
Celien;588
Grietje;588
Hayley;588
Chaïma;585
Emelyne;585
Hasna;584
Maite;584
Greetje;583
Jasmijn;583
Kyana;582
Madina;581
Mimouna;580
Rim;578
Dilek;577
Raquel;577
Lily-Rose;575
Chaima;574
Faustine;574
Radia;574
Feline;572
Angelika;570
Norma;569
Dalia;568
Israe;568
Manel;568
Alphonsine;567
Cleo;566
Jelena;566
Oumou;566
Ghizlane;565
Lya;565
El;564
Vivianne;564
Elyne;563
Marie-Julie;562
Anne-Laure;560
Ekaterina;559
Severine;559
Gaëtane;558
Iliana;558
Sibylle;558
Abigail;557
Annemarie;557
Eda;557
Fay;557
Janna;557
Kaatje;557
Gemma;556
Alissa;555
Anisa;555
Ebru;555
Priscillia;555
Edwige;554
Larisa;554
Gertruda;553
Katherine;552
Geraldine;550
Margriet;550
Delia;549
Rosetta;549
Ninon;548
Rosina;548
Zoulikha;548
Sevim;547
Denisa;546
Dieuwke;546
Connie;544
Alyssia;543
Gertrudis;542
Karien;542
Marika;542
Theodora;541
Chantale;540
Faye;540
Calogera;539
Danuta;539
Alisa;535
An-Sofie;535
Annika;535
Leni;535
Amani;534
Hubertina;534
Riet;534
Ana-Maria;533
Aysel;533
Ilyana;533
Adelheid;532
Ema;532
Melania;531
Violeta;531
Camelia;530
Camilla;530
Laeticia;529
Cilou;528
Doriane;528
Phebe;528
Alicja;525
Lenka;525
Tiana;523
Aaliyah;522
Melinda;522
Saadia;522
Hawa;521
Wanda;521
Dorothy;520
Tanya;519
Imani;517
Raymonda;517
Tilly;517
Cassandre;516
Kitty;516
Klaudia;516
Liesl;516
Angeline;515
Luka;515
Anne-Lise;514
Galina;513
Marissa;512
Cara;510
Juline;510
Lizzy;509
Janique;508
Beyza;507
Emely;507
Felicia;507
Aria;506
Sheila;506
Ilayda;505
Nassira;505
Zofia;504
Isaura;503
Aynur;502
Marcia;502
Cyrielle;501
Herlinde;501
Janina;501
Philomène;501
Héléna;498
Jozefa;498
Roberta;498
Lutgard;497
Miet;497
Yvonna;497
Madeline;496
Ona;495
Aldegonda;494
Faith;494
Jasmin;494
Susana;493
Alana;492
Patrycja;492
Blandine;491
Jihane;490
Lissa;490
Méline;490
Bibi;489
Lysiane;489
Viktoria;488
Eef;487
Flavia;487
Domenica;483
Ewelina;483
Sena;482
Enola;481
Arya;480
Bruna;480
Donatienne;480
Elsy;480
Eugenia;480
Medina;480
Roxana;480
Soetkin;480
Viviana;480
Arzu;479
Cécilia;479
Ranya;478
Wiam;478
Carola;476
Georgia;476
Wivine;476
Lison;475
Mercedes;475
Armelle;474
Clementine;474
Lucille;474
Zina;474
Joanne;473
Sacha;473
Sema;473
Semra;473
Leticia;472
Léona;472
Naomie;472
Simonna;472
Ionela;471
Katelijn;471
Wiktoria;471
Yelena;471
Jinte;470
Pippa;470
Mirela;469
Gamze;468
Zeliha;467
Luca;466
Salwa;466
Firdaws;465
Ela;464
Hidaya;464
Songül;464
Urszula;464
Halina;462
Leah;462
Michaela;462
Lisse;461
Alena;460
Angel;460
Ans;460
Carmelina;460
Corina;460
Alyson;459
Florentine;459
Luz;459
Nadja;459
Johanne;456
Neyla;456
Oriane;456
Sevgi;456
Xenia;456
Yoni;456
Khaddouj;455
Margaret;455
Melody;455
Aurélia;454
Beau;453
Camélia;453
Liesje;453
Phoebe;453
Reine;453
Françine;452
Melike;452
Faiza;451
Goele;451
Luce;451
Nanou;451
Albertina;450
Tugba;450
Ilaria;449
Lilya;449
Monia;449
Aïssatou;446
Garance;446
Herlinda;446
Marceline;446
Cléo;445
Lilian;445
Maïlys;445
Dudu;444
Georgina;444
Mylène;444
Yannick;444
Elin;443
Esmee;443
Sevda;443
Sinem;443
Zaynab;443
Darline;442
Edyta;442
Evie;442
Felien;442
Kübra;442
Noella;442
Dominika;440
Heike;440
Susy;440
Betül;439
Milou;439
Minne;439
Najoua;438
Emanuela;437
Savannah;436
Klaartje;435
Morgan;435
Candy;434
Fee;434
Katie;434
Zoubida;433
Bahar;432
Gerlinde;431
Jozefina;431
Zuzanna;431
Fauve;430
Jitske;430
Leontine;430
Meriam;430
Lente;429
Adélaïde;428
Ayten;427
Israa;426
Mariane;426
Betsy;425
Chayenne;423
Désirée;423
Enya;423
Inneke;423
Olena;423
Vanina;423
Gwenny;422
Isabeau;422
Melis;422
Fatou;421
Assunta;420
Majda;420
Oumayma;420
Nesrine;419
Ruby;419
Joelle;418
Jolanda;418
Aliyah;417
Eloise;417
Gioia;417
Marleentje;416
Iluna;415
Tiny;415
Gabriele;414
Jodie;414
Mariella;414
Milana;414
Catalina;413
Chris;412
Eleonore;412
Emel;411
Josine;411
Marzena;411
Eleanor;410
Ava;409
Firdaous;409
Godeliva;409
Jeaninne;409
Noortje;409
Noélie;409
Maren;408
Oksana;408
Kris;407
Alysson;406
Camila;406
Fenne;406
Marie-Eve;406
Rhune;406
Corry;404
Hubertine;404
Marcelline;404
Josefa;403
Alexis;402
Emmeline;402
Hala;402
Lune;402
Magaly;402
Bozena;401
Iryna;401
Nihal;401
Rkia;401
Alda;400
Lindsy;400
Giselle;399
Hilal;399
Manar;399
Yamna;399
Carinne;398
Maryvonne;398
Rebeca;398
Souhaila;397
Kayla;396
